NDOC;HRP5;HRP5_1B;ASSALARIADO
1007;1010.32;1010.32;N
1008;2686.85;2382.65;S
1009;332.86;160.47;S
1010;2748.24;2748.24;N
1011;2302.51;2118.23;S
1012;1503.75;1653.85;S
1013;116.84;116.84;S
1014;4669.61;5583.45;S
1015;3527.52;4068.02;N
1016;853.03;798.09;N
1017;260.22;394.19;S
1018;1709.03;1268.48;S
1019;868.17;868.17;S
1020;1272.79;978.54;S
1021;2416.42;2416.42;S
1022;2887.37;2887.37;N
1023;2394.17;3535.62;N
1024;4319.08;16561.73;S
1025;1731.55;2278.38;N
1026;2323.17;2323.17;S
1027;6906.95;9332.68;S
1028;3325.88;3700.32;S
1029;1432.36;1685.02;S
1030;4025.31;4827.63;N
1031;4621.99;1463.52;S
1032;2155.07;1825.30;S
1033;7388.06;7388.06;S
1034;9207.69;9858.20;S
1035;424.91;424.91;S
1036;2253.38;3021.25;N
1037;182.21;479.98;N
1038;1670.26;2249.12;S
1039;747.03;782.44;S
1040;171.74;0.00;S
1041;1618.50;1350.09;N
1042;1125.09;1125.09;S
1043;970.52;1392.00;S
1044;2790.01;2790.01;S
1045;1473.99;1473.99;S
1046;702.60;582.77;S
1047;2833.84;2833.84;S
1048;2713.09;3127.57;S
1049;1487.50;1148.05;S
1050;1714.29;1366.67;N
1051;1473.34;1753.08;N
1052;1192.20;1444.53;S
1053;2842.47;3481.82;S
1054;4346.21;4581.57;N
1055;1749.25;2052.09;N
1056;1993.77;6785.22;S
1057;4788.91;4788.91;S
1058;1617.56;1617.56;S
1059;1340.32;2039.56;S
1060;2515.39;1996.57;S
1061;3221.86;3221.86;S
1062;4894.77;5490.61;N
1063;5785.16;3831.48;N
1064;2334.61;2334.61;S
1065;1415.75;1774.03;N
1066;372.44;565.87;S
1067;1228.18;986.36;N
1068;3723.55;3723.55;N
1069;806.25;1067.77;S
1070;759.19;299.03;S
1071;2660.36;2572.32;N
1072;1742.70;2143.99;S
1073;2446.19;1056.97;N
1074;8907.82;1725.10;N
1075;991.92;1426.30;N
1076;27.89;0.00;N
1077;11104.42;11104.42;N
1078;2354.47;2354.47;S
1079;297.96;213.49;N
1080;2894.34;1637.71;N
1081;4429.71;4333.45;S
1082;2822.84;3885.01;S
1083;888.51;878.46;S
1084;1394.78;1244.45;S
1085;1973.27;2206.15;N
1086;2863.27;2863.27;S
1087;1746.50;1719.06;S
1088;571.76;571.76;S
1089;1991.02;1549.72;S
1090;894.25;1390.91;S
1091;1870.43;1515.75;S
1092;1720.03;1495.09;N
1093;1866.35;1887.29;S
1094;1540.99;1805.15;S
1095;2571.99;2011.17;N
1096;618.70;889.80;S
1097;5601.42;6169.24;S
1098;2887.66;3111.31;S
1099;3046.53;2556.97;S
1100;99.33;99.33;S
1101;1089.63;1144.08;S
1102;58.50;245.27;S
1103;3241.93;3246.08;S
1104;1115.08;1115.08;N
1105;1484.17;2074.46;S
1106;2246.32;2161.13;N
1107;2203.46;1988.87;S
1108;1911.49;2450.44;S
1109;10005.43;8420.28;S
1110;1632.21;1669.37;S
1111;1395.30;1395.30;S
1112;2279.46;1347.96;S
1113;1261.36;1008.26;N
1114;1599.51;1599.51;S
1115;2002.05;2519.50;N
1116;2762.47;2704.25;N
1117;4343.23;4119.96;S
1118;767.97;995.07;S
1119;19.78;0.00;S
1120;1717.81;1201.78;N
1121;2209.09;2209.09;N
1122;1869.92;1131.87;N
1123;2565.14;2565.14;S
1124;259.62;529.29;S
1125;2991.95;2797.43;S
1126;8204.83;12319.35;S
1127;1680.17;1356.47;N
1128;1420.06;1706.01;S
1129;737.44;786.33;S
1130;1625.99;1625.99;S
1131;4185.06;4361.92;S
1132;1054.43;802.08;S
1133;4250.70;1847.69;N
1134;919.12;1184.91;S
1135;2294.92;3385.64;N
1136;2010.61;1984.76;S
1137;8914.65;9248.11;S
1138;789.42;789.42;S
1139;2256.29;2152.70;S
1140;311.67;373.25;N
1141;3294.82;2678.30;N
1142;1835.17;1851.80;S
1143;3683.10;2012.18;N
1144;2963.06;2981.43;S
1145;219.41;219.41;N
1146;623.92;155.46;S
1147;184.24;290.58;N
1148;2765.53;2765.53;S
1149;174.15;3.74;S
1150;842.88;1176.14;S
1151;936.11;1312.53;N
1152;19976.95;21117.69;N
1153;3383.36;2541.47;N
1154;616.03;616.03;S
1155;3655.36;3655.36;S
1156;4703.01;5247.38;N
1157;2064.87;1946.60;S
1158;1321.82;1000.56;S
1159;1921.19;2344.05;S
1160;1306.00;250.20;N
1161;84.03;291.55;S
1162;1467.55;1402.80;N
1163;645.35;1081.46;S
1164;4853.21;4853.21;N
1165;200.31;200.31;S
1166;1815.56;2191.66;S
1167;4479.64;5531.32;N
1168;1405.76;923.30;N
1169;397.51;161.97;N
1170;4445.02;4489.62;N
1171;2209.58;1496.28;N
1172;5048.41;5713.39;S
1173;1778.64;1728.35;N
1174;952.64;469.39;N
1175;12042.05;9494.18;N
1176;1894.74;1894.74;S
